ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,skipped
2018-10-25 10:08:14+00:00,4962,Sin Pijama,Becky G,Sin Pijama,False
2018-12-02 23:28:15+00:00,213040,Genius,Sia,Mountains,False
2018-12-02 23:31:25+00:00,189466,Natural,Imagine Dragons,Origins,False
2018-12-02 23:32:14+00:00,48830,Thunderclouds,Sia,Mountains,False
2018-12-02 23:35:32+00:00,195519,I'm a Mess,Bebe Rexha,Expectations,False
2018-12-02 23:39:52+00:00,235544,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Red Pill Blues,False
2018-12-02 23:43:38+00:00,194680,Flames,David Guetta,7,False
2018-12-02 23:46:25+00:00,167488,Vaina Loca,Ozuna,Aura,False
2018-12-02 23:49:59+00:00,205920,no tears left to cry,Ariana Grande,Sweetener,False
2018-12-02 23:50:03+00:00,3123,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,7,False
2018-12-02 23:52:12+00:00,128439,In My Mind,Dynoro,In My Mind,False
2018-12-02 23:54:07+00:00,114016,No Es Justo,J Balvin,Vibras,False
2018-12-02 23:57:47+00:00,212499,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",False
2018-12-03 00:00:52+00:00,154400,X,Nicky Jam,X,False
2018-12-03 00:04:00+00:00,188560,Sin Pijama,Becky G,Sin Pijama,False
2018-12-03 00:07:49+00:00,231266,Better Now,Post Malone,beerbongs & bentleys,False
2018-12-03 00:11:13+00:00,204346,Believer,Imagine Dragons,Evolve,False
2018-12-03 00:14:46+00:00,214846,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),False
2018-12-03 00:19:00+00:00,217653,No Me Acuerdo,Thalia,Valiente,False
2018-12-03 00:24:12+00:00,132530,IDGAF,Dua Lipa,Dua Lipa,False
2018-12-03 12:41:26+00:00,84739,IDGAF,Dua Lipa,Dua Lipa,False
2018-12-03 12:44:20+00:00,183962,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You,False
2018-12-03 12:44:47+00:00,23557,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You,False
2018-12-03 12:48:13+00:00,194680,Flames,David Guetta,7,False
2018-12-03 12:48:22+00:00,194680,Flames,David Guetta,7,False
2018-12-03 12:50:44+00:00,154689,Ni La Hora,Ana Guerra,Ni La Hora,False
2018-12-03 12:50:46+00:00,1360,Genius,Sia,Mountains,False
2018-12-03 12:50:48+00:00,1574,Ya No Quiero Ná,Lola Indigo,Ya No Quiero Ná,False
2018-12-03 15:30:01+00:00,0,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-03 15:33:42+00:00,219161,Cuando Nadie Ve,Morat,Cuando Nadie Ve,False
2018-12-03 15:37:37+00:00,205920,no tears left to cry,Ariana Grande,Sweetener,False
2018-12-03 15:37:43+00:00,5523,Lo siento,Beret,Lo siento,False
2018-12-03 15:37:44+00:00,1272,In My Mind,Dynoro,In My Mind,False
2018-12-03 15:41:16+00:00,212348,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),Dvicio,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),False
2018-12-03 18:24:55+00:00,3118,Thunderclouds,Sia,Mountains,False
